Uhrzeit;Name;Sensor;Wert;Einheit
2023/11/27T11:31:10-301;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;7,1;
2023/11/27T11:31:11-312;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;5,8;
2023/11/27T11:31:12-325;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;5,7;
2023/11/27T11:31:13-349;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;7,2;
2023/11/27T11:31:14-360;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;5,7;
2023/11/27T11:31:15-384;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;3,9;
2023/11/27T11:31:16-396;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;6,7;
2023/11/27T11:31:17-409;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;3,7;
2023/11/27T11:31:10-301;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;7,6;W
2023/11/27T11:31:11-312;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;6,3;W
2023/11/27T11:31:12-325;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;7;W
2023/11/27T11:31:13-349;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;8,1;W
2023/11/27T11:31:14-360;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;7,2;W
2023/11/27T11:31:15-384;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;5,4;W
2023/11/27T11:31:16-396;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;6,7;W
2023/11/27T11:31:17-409;(measure idle power)Initialize;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Powers->CPU Package;5,4;W
2023/11/27T11:31:22-962;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;34,1;
2023/11/27T11:31:23-262;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;34,1;
2023/11/27T11:31:23-563;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;34,1;
2023/11/27T11:31:23-863;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,7;
2023/11/27T11:31:24-163;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,7;
2023/11/27T11:31:24-464;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,7;
2023/11/27T11:31:24-765;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,4;
2023/11/27T11:31:25-066;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,4;
2023/11/27T11:31:25-366;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;30,4;
2023/11/27T11:31:25-667;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,9;
2023/11/27T11:31:25-968;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,9;
2023/11/27T11:31:26-268;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,9;
2023/11/27T11:31:26-568;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,9;
2023/11/27T11:31:26-869;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;45,3;
2023/11/27T11:31:27-170;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;45,3;
2023/11/27T11:31:27-470;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;45,3;
2023/11/27T11:31:27-771;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,5;
2023/11/27T11:31:28-072;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,5;
2023/11/27T11:31:28-372;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;35,5;
2023/11/27T11:31:28-672;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,6;
2023/11/27T11:31:28-972;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,6;
2023/11/27T11:31:29-272;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,6;
2023/11/27T11:31:29-573;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,6;
2023/11/27T11:31:29-873;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;29,4;
2023/11/27T11:31:30-174;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;29,4;
2023/11/27T11:31:30-474;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;29,4;
2023/11/27T11:31:30-774;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,2;
2023/11/27T11:31:31-074;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,2;
2023/11/27T11:31:31-374;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;31,2;
2023/11/27T11:31:31-674;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;43,5;
2023/11/27T11:31:31-974;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;43,5;
2023/11/27T11:31:32-274;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;43,5;
2023/11/27T11:31:32-575;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;43,5;
2023/11/27T11:31:32-876;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;39,5;
2023/11/27T11:31:33-177;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;39,5;
2023/11/27T11:31:33-478;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;39,5;
2023/11/27T11:31:33-778;MastermindTests->sucess()->repetition 1 of 10;GD-WIN11-LAP->11th Gen Intel Core i7-1165G7->Load->CPU Total;29,3;
